"id","title","description","link","image link","condition","availability","price","brand","google product category"
"182","SamSung Galaxy Note 4 32GB Màu Đen Quốc Tế Mỹ Hàng Trưng Bày","Samsung galaxy note 4 32gb màu đen quốc tế mỹ qsd 99% giá tốt","http://www.vietanhmobile.com/samsung-galaxy-note-4-32gb-mau-den-quoc-te-my-qsd-99.html","http://www.vietanhmobile.com/hinh-anh/san-pham/samsung-galaxy-note-4-black-usa-99-slide-1.jpg","new","in stock","5890000 VND","Samsung Note 4",""
"183","SamSung Galaxy Note 4 32GB Màu Trắng Quốc Tế Mỹ Hàng Trưng Bày","Samsung galaxy note 4 32gb màu trắng quốc tế mỹ qsd 99% giá tốt","http://www.vietanhmobile.com/samsung-galaxy-note-4-32gb-mau-trang-quoc-te-my-qsd-99.html","http://www.vietanhmobile.com/hinh-anh/san-pham/samsung-galaxy-note-4-white-usa-99-slide-1.jpg","new","in stock","5890000 VND","Samsung Note 4",""
"196","Vòng Tay Thông Minh Xiaomi","vòng tay thông minh xiaomi ","http://www.vietanhmobile.com/vong-tay-thong-minh-xiaomi.html","http://www.vietanhmobile.com/hinh-anh/san-pham/vong-tay-thong-minh-xiaomi-side-1.jpg","new","out of stock","450000 VND","Phụ Kiện Xiaomi",""
"752","iPhone 6 Plus Quốc Tế Chưa Active","iphone 6 plus quốc tế chưa active giá tốt","http://www.vietanhmobile.com/iphone-6-plus-quoc-te-chua-active.html","http://www.vietanhmobile.com/hinh-anh/san-pham/iphone-6-plus-quoc-te-100-slide-1.jpg","new","in stock","9490000 VND","Iphone 6 Plus",""
"208","Sạc Sony Chính Hãng EP880 1500mA","sạc sony chính hãng ep880 1500ma","http://www.vietanhmobile.com/sac-sony-chinh-hang-ep880-1500ma.html","http://www.vietanhmobile.com/hinh-anh/san-pham/sac-sony-chinh-hang-ep880-side-1.jpg","new","out of stock","250000 VND","Phụ Kiện Sony",""
"207","Kính xem phim 3D","kính xem phim 3d ","http://www.vietanhmobile.com/kinh-xem-phim-3d.html","http://www.vietanhmobile.com/hinh-anh/san-pham/kinh-xem-phim-3d-smartphone-side-1.jpg","new","out of stock","490000 VND","Kính 3D",""
"209","Cáp USB Điện Thoại Sony EC801 Chính Hãng","cáp usb điện thoại sony ec801 chính hãng ","http://www.vietanhmobile.com/cap-usb-dien-thoai-sony-ec801-chinh-hang.html","http://www.vietanhmobile.com/hinh-anh/san-pham/cap-usb-sony-ec801-chinh-hang-side-1.jpg","new","out of stock","150000 VND","Phụ Kiện Sony",""
"758","iPhone 6S Quốc Tế Chưa Active - Trôi Bảo Hành","iphone 6s quốc tế chưa active - trôi bảo hành giá tốt","http://www.vietanhmobile.com/iphone-6s-quoc-te-chua-active-troi-bao-hanh.html","http://www.vietanhmobile.com/hinh-anh/san-pham/iphone-6s-quoc-te-troi-bao-hanh-100-slide-1.jpg","new","in stock","7790000 VND","Iphone 6S",""
"216","Dock sạc Sony chính hãng","dock sạc sony chính hãng","http://www.vietanhmobile.com/dock-sac-sony-chinh-hang-216.html","http://www.vietanhmobile.com/hinh-anh/san-pham/dock-sac-sony-chinh-hang-main.jpg","new","out of stock","490000 VND","Phụ Kiện Sony",""
"218","Dock sạc Sony full box chính hãng","dock sạc sony full box chính hãng","http://www.vietanhmobile.com/dock-sac-sony-full-box-chinh-hang.html","http://www.vietanhmobile.com/hinh-anh/san-pham/dock-sac-sony-full-box-chinh-hang-main.jpg","new","out of stock","790000 VND","Phụ Kiện Sony",""
