"id","title","description","product_type","link","image_link","condition","availability","price","sale_price","sale_price_effective_date","brand"
"438","iPad Air 2 64GB + 4G Màu Bạc ( Silver ) Hàng Trưng Bày","ipad air 2 64gb + 4g màu bạc ( silver ) qsd 99%","Product","https://www.vietanhmobile.com/ipad-air-2-64gb-4g-mau-bac-silver-qsd-99.html","https://www.vietanhmobile.com/hinh-anh/san-pham/Ipad-air-2-64gb-silver-99-slide-1.jpg","new","in stock","10490000","","","iPad Air 2"
"439","iPad Air 2 64GB + 4G Màu Vàng ( Gold ) Hàng Trưng Bày","ipad air 2 64gb + 4g màu vàng ( gold ) qsd 99%","Product","https://www.vietanhmobile.com/ipad-air-2-64gb-4g-mau-vang-gold-qsd-99.html","https://www.vietanhmobile.com/hinh-anh/san-pham/Ipad-air-2-64gb-gold-99-slide-1.jpg","new","in stock","10990000","","","iPad Air 2"
"446","iPad Air 2 Cellular Màu Xám ( Gray ) Chưa Active","ipad air 2 cellular màu xám ( gray ) chưa active","Product","https://www.vietanhmobile.com/ipad-air-2-cellular-mau-xam-gray-chua-active.html","https://www.vietanhmobile.com/hinh-anh/san-pham/Ipad-air-2-16gb-gray-100-slide-1.jpg","new","in stock","11090000","","","iPad Air 2"
"447","iPad Air 2 Cellular Màu Vàng ( Gold  ) Chưa Active","ipad air 2 cellular màu vàng ( gold  ) chưa active","Product","https://www.vietanhmobile.com/ipad-air-2-cellular-mau-vang-gold-chua-active.html","https://www.vietanhmobile.com/hinh-anh/san-pham/Ipad-air-2-16gb-gold-100-slide-1.jpg","new","in stock","11090000","","","iPad Air 2"
"448","iPad Air 2 Cellular Màu Bạc ( Silver ) Chưa Active","ipad air 2 cellular màu bạc ( silver ) chưa active","Product","https://www.vietanhmobile.com/ipad-air-2-cellular-mau-bac-silver-chua-active.html","https://www.vietanhmobile.com/hinh-anh/san-pham/Ipad-air-2-16gb-silver-100-slide-1.jpg","new","in stock","11090000","","","iPad Air 2"
"449","iPad Air 2 64GB + 4G Màu Xám ( Gray ) Chưa Active","ipad air 2 64gb + 4g màu xám ( gray ) chưa active","Product","https://www.vietanhmobile.com/ipad-air-2-64gb-4g-mau-xam-gray-chua-active.html","https://www.vietanhmobile.com/hinh-anh/san-pham/Ipad-air-2-64gb-gray-100-slide-1.jpg","new","in stock","12890000","","","iPad Air 2"
"450","iPad Air 2 64GB + 4G Màu Bạc ( Silver ) Chưa Active","ipad air 2 64gb + 4g màu bạc ( silver ) chưa active","Product","https://www.vietanhmobile.com/ipad-air-2-64gb-4g-mau-bac-silver-chua-active.html","https://www.vietanhmobile.com/hinh-anh/san-pham/Ipad-air-2-64gb-silver-100-slide-1.jpg","new","in stock","12890000","","","iPad Air 2"
"451","iPad Air 2 64GB + 4G Màu Vàng ( Gold ) Chưa Active","ipad air 2 64gb + 4g màu vàng ( gold ) chưa active","Product","https://www.vietanhmobile.com/ipad-air-2-64gb-4g-mau-vang-gold-chua-active.html","https://www.vietanhmobile.com/hinh-anh/san-pham/Ipad-air-2-64gb-gold-100-slide-1.jpg","new","in stock","13490000","","","iPad Air 2"
"452","Bộ kích sóng Wifi Xiaomi Repeater","bộ kích sóng wifi xiaomi repeater","Product","https://www.vietanhmobile.com/bo-kich-song-wifi-xiaomi-repeater.html","https://www.vietanhmobile.com/hinh-anh/san-pham/bo-kich-song-wifi-xiaomi-repeater-100-slide-1.jpg","new","in stock","249000","","","Phụ Kiện Xiaomi"
"456","Máy lọc không khí Xiaomi Mi Air Purifier 2","máy lọc không khí xiaomi mi air purifier 2","Product","https://www.vietanhmobile.com/may-loc-khong-khi-xiaomi-mi-air-purifier-2.html","https://www.vietanhmobile.com/hinh-anh/san-pham/may-loc-khong-khi-xiaomi-mi-air-Purifier-2-100-slide-1.jpg","new","in stock","2990000","","","Phụ Kiện Xiaomi"
"457","Loa Bluetooth Harman Kardon Onyx Studio","loa bluetooth harman kardon onyx studio","Product","https://www.vietanhmobile.com/loa-bluetooth-harman-kardon-onyx-studio.html","https://www.vietanhmobile.com/hinh-anh/san-pham/VA-Loa-Bluetooth-Harman-Kardon-Onyx-Studio-100-slide-1.jpg","new","in stock","2990000","","","Loa - Tai Nghe Bluetooth"
"458","Loa Harman Kardon Omni 10","loa harman kardon omni 10","Product","https://www.vietanhmobile.com/loa-harman-kardon-omni-10.html","https://www.vietanhmobile.com/hinh-anh/san-pham/Loa-Harman-Kardon-Omni-10-100-slide-1.jpg","new","in stock","4990000","","","Loa - Tai Nghe Bluetooth"
"459","Loa Bluetooth X-Mini Explore Plus","loa bluetooth x-mini explore plus","Product","https://www.vietanhmobile.com/loa-bluetooth-x-mini-explore-plus.html","https://www.vietanhmobile.com/hinh-anh/san-pham/Loa-Bluetooth-X-Mini-Explore-Plus-100-slide-1.jpg","new","in stock","1190000","","","Loa - Tai Nghe Bluetooth"
